Astronomical Low Tide,astronomical,Á¦¿Ü
Avalanche,"avalance,  avalanche",
Blizzard,blizzard,
Coastal Flood,"coastal flood, beach, coastal, erosin",
Cold/Wind Chill,"cold, wind chill, cool, windchill, low temperature, Extreme Cold/Wind Chill",
Debris Flow,debris,
Dense Fog,dense fog,
Dense Smoke,dense smoke,
Drought,"drought, dries, dry",
Dust Devil,dust,
Dust Storm,"blowing dust, dust storm ",
Excessive Heat,excessive heat,O
Extreme Cold/Wind Chill,extreme cold,O
Flash Flood ,flash flood,
,,
Freezing Fog,fog,
Frost/Freeze,"freeze, frost",
Funnel Cloud,"funnel, cloud",
,,
Heat ,"heat, hot, high temperature, hyperthermia, excessive heat",
Heavy Rain,"rain, wet",
Heavy Snow,"snow, heavy snow, , blowing snow",
High Surf,"high surf,  high waves,  high tide, high swells, high water",
High Wind,high  winds,O
Hurricane/Typhoon,"hurricane,  typhoon",
Ice Storm,"ice, glaze, icy",
Lakeshore Flood,"lake flood, lakeshore flood",
Lake-Effect Snow,"lake-effect snow,  lake effect snow",
Lightning,lightning,
Marine Hail,marine hail,
Marine High Wind ,"marine high wind, marine accident, marine mishap",
Marine Strong Wind,marine strong wind,
Marine Thunderstorm Wind,"marine thunderstorm wind,   marine tstm wind",
Rip Current,rip current,
Seiche,"seiche
",
Sleet,sleet,
Storm Tide,storm surge/tide,
Strong Wind,"microburst, strong wind, storm",O
Thunderstorm Wind,"gusty, thuderstorm,  thundeerstorm, tstm",
Tornado,tornado,
Tropical Depression,tropical depression,
Tropical Storm,tropical storm,
Tsunami,tsunami,
Volcanic Ash,volcanic,
Waterspout,"waterspout, gustnado, heavy mix, rising water",
Wildfire,fire,
Winter Storm,winter storm,
Winter Weather,"winter weather, wintry mix",
Slide,slide,
Wind ,"wind, high  winds, microburst, strong wind",
Flood,"flood, precip, stream",
Hail,hail,
,,
,,
,,
Other,,
